ID,Film,Year,Award,Nomination
192,The Young Victoria,2009,1,3
193,The Blind Side,2009,1,2
194,Music by Prudence,2009,1,1
195,The Secret in Their Eyes,2009,1,1
196,The Cove,2009,1,1
197,The New Tenants,2009,1,1
198,Logorama,2009,1,1
199,Slumdog Millionaire,2008,8,10
200,The Curious Case of Benjamin Button,2008,3,13
201,Milk,2008,2,8
202,The Dark Knight,2008,2,8
203,WALL-E,2008,1,6
204,The Reader,2008,1,5
205,The Duchess,2008,1,2
206,Departures,2008,1,1
207,Vicky Cristina Barcelona,2008,1,1
208,Smile Pinki,2008,1,1
209,Man on Wire,2008,1,1
210,Toyland,2008,1,1
211,La Maison en Petits Cubes,2008,1,1
212,No Country for Old Men,2007,4,8
213,The Bourne Ultimatum,2007,3,3
214,There Will Be Blood,2007,2,8
215,La Vie en rose,2007,2,3
216,Atonement,2007,1,7
217,Michael Clayton,2007,1,7
218,Ratatouille,2007,1,5
219,Juno,2007,1,4
220,Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
221,The Golden Compass,2007,1,2
222,Elizabeth: The Golden Age,2007,1,2
223,Taxi to the Dark Side,2007,1,1
224,Peter &amp; the Wolf,2007,1,1
225,Once,2007,1,1
226,Le Mozart des pickpockets,2007,1,1
227,The Counterfeiters,2007,1,1
228,Freeheld,2007,1,1
229,The Departed,2006,4,5
230,Pan's Labyrinth,2006,3,6
231,Dreamgirls,2006,2,8
232,Little Miss Sunshine,2006,2,4
233,An Inconvenient Truth,2006,2,2
234,Babel,2006,1,7
235,The Queen,2006,1,6
236,Letters from Iwo Jima,2006,1,4
237,Pirates of the Caribbean: Dead Man's Chest,2006,1,4
238,The Danish Poet,2006,1,1
239,Happy Feet,2006,1,1
240,The Last King of Scotland,2006,1,1
241,The Lives of Others,2006,1,1
242,Marie Antoinette,2006,1,1
243,West Bank Story,2006,1,1
244,The Blood of Yingzhou District,2006,1,1
245,Crash,2005,3,6
246,Brokeback Mountain,2005,3,8
247,Memoirs of a Geisha,2005,3,6
248,King Kong,2005,3,4
249,Capote,2005,1,5
250,Walk the Line,2005,1,5
251,The Constant Gardener,2005,1,4
252,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
253,Hustle &amp; Flow,2005,1,2
254,Syriana,2005,1,2
255,March of the Penguins,2005,1,1
256,Six Shooter,2005,1,1
257,The Moon and the Son: An Imagined Conversation,2005,1,1
258,A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
259,Tsotsi,2005,1,1
260,Wallace &amp; Gromit: The Curse of the Were-Rabbit,2005,1,1
261,Million Dollar Baby,2004,4,7
262,The Aviator,2004,5,11
263,Ray,2004,2,6
264,The Incredibles,2004,2,4
265,Finding Neverland,2004,1,7
266,Sideways,2004,1,5
267,Lemony Snicket's A Series of Unfortunate Events,2004,1,4
268,Spider-Man 2,2004,1,3
269,Eternal Sunshine of the Spotless Mind,2004,1,2
270,The Motorcycle Diaries,2004,1,2
271,The Sea Inside,2004,1,2
272,Born into Brothels,2004,1,1
273,Mighty Times: The Children's March,2004,1,1
274,Wasp,2004,1,1
275,Ryan,2004,1,1
276,The Lord of the Rings: The Return of the King,2003,11,11
