ID,Film,Year,Award,Nomination
779,The Dirty Dozen,1967,1,4
780,A Place to Stand,1967,1,2
781,The Anderson Platoon,1967,1,1
782,The Box,1967,1,1
783,Closely Watched Trains,1967,1,1
784,The Redwoods,1967,1,1
785,A Man for All Seasons,1966,6,8
786,Who's Afraid of Virginia Woolf?,1966,5,13
787,Grand Prix,1966,3,3
788,Fantastic Voyage,1966,2,5
789,A Man and a Woman,1966,2,4
790,Born Free,1966,2,2
791,The Fortune Cookie,1966,1,4
792,A Funny Thing Happened on the Way to the Forum,1966,1,1
793,A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1
794,The War Game,1966,1,1
795,Wild Wings,1966,1,1
796,A Year Toward Tomorrow,1966,1,1
797,The Sound of Music,1965,5,10
798,Doctor Zhivago,1965,5,10
799,Darling,1965,3,5
800,Ship of Fools,1965,2,8
801,Cat Ballou,1965,1,5
802,The Great Race,1965,1,5
803,A Patch of Blue,1965,1,5
804,A Thousand Clowns,1965,1,4
805,The Shop on Main Street,1965,1,2
806,The Sandpiper,1965,1,1
807,The Eleanor Roosevelt Story,1965,1,1
808,To Be Alive!,1965,1,1
809,7 Faces of Dr. Lao,1964,0,1
810,7th Heaven,28,3,5
811,"20,000 Leagues Under the Sea",1954,2,3
812,Adventures of Don Juan,1949,1,2
813,The Adventures of Robin Hood,1938,3,4
814,The African Queen,1951,1,4
815,Air Force,1943,1,4
816,The Alamo,1960,1,7
817,The Alaskan Eskimo,1953,1,1
818,Albert Schweitzer,1957,1,1
819,Alexander's Ragtime Band,1938,1,6
820,All About Eve,1950,6,14
821,All That Money Can Buy,1941,1,2
822,All the King's Men,1949,3,7
823,Ama Girls,1958,1,1
824,America America,1963,1,4
825,An American in Paris,1951,6,8
826,Amphibious Fighters,1943,1,1
827,Anastasia,1956,1,2
828,Anchors Aweigh,1945,1,5
829,Anna and the King of Siam,1946,2,5
830,Annie Get Your Gun,1950,1,4
831,Anthony Adverse,1936,4,7
832,The Apartment,1960,5,10
833,Aquatic House Party,1949,1,1
834,"Arise, My Love",1940,1,4
835,Around the World in 80 Days,1956,5,8
836,The Awful Truth,1937,1,6
837,The Bachelor and the Bobby-Soxer,1947,1,1
838,The Bad and the Beautiful,1952,5,6
839,Bad Girl,32,2,3
840,The Barefoot Contessa,1954,1,2
841,The Battle of Midway,1942,1,1
842,Battleground,1949,2,6
843,Bear Country,1953,1,1
844,Becket,1964,1,12
845,The Bells of St. Mary's,1945,1,8
846,Ben-Hur,1959,11,12
847,Benjy,1951,1,1
848,The Bespoke Overcoat,1956,1,1
849,The Best Years of Our Lives,1946,7,8
850,Beyond the Line of Duty,1942,1,1
851,Bicycle Thieves,1949,0,1
852,The Big Broadcast of 1938,1938,1,1
853,The Big Country,1958,1,2
854,The Big House,30,2,4
855,Bill and Coo,1948,0,0
856,Birds Anonymous,1957,1,1
857,The Bishop's Wife,1947,1,5
858,Black Fox: The Rise and Fall of Adolf Hitler,1962,1,1
859,Black Narcissus,1947,2,2
860,Black Orpheus,1959,1,1
861,The Black Swan,1942,1,3
862,Blithe Spirit,1946,1,1
863,Blood and Sand,1941,1,2
864,Blood on the Sun,1945,1,1
865,Blossoms in the Dust,1941,1,4
866,Body and Soul,1947,1,3
867,Bored of Education,1936,1,1
868,Born Yesterday,1950,1,5
869,A Boy and His Dog,1946,1,1
870,Boys Town,1938,2,5
871,The Brave One,1956,1,3
872,Breakfast at Tiffany's,1961,2,5
873,Breaking the Sound Barrier,1952,1,2
874,The Bridge of San Luis Rey,29,1,1
875,The Bridge on the River Kwai,1957,7,8
876,The Bridges at Toko-Ri,1955,1,2
877,Broadway Melody of 1936,1935,1,3
878,The Broadway Melody,29,1,3
879,Broken Lance,1954,1,2
880,Busy Little Bears,1939,1,1
881,BUtterfield 8,1960,1,2
882,Calamity Jane,1953,1,3
883,Call Me Madam,1953,1,2
884,"Captain Carey, U.S.A.",1950,1,1
885,Captains Courageous,1937,1,4
886,Casablanca,1943,3,8
887,Casals Conducts: 1964,1964,1,1
888,The Cat Concerto,1946,1,1
889,Cavalcade,33,3,4
890,Chagall,1963,1,1
891,The Champ,32,2,4
892,Champion,1949,1,6
893,A Chance to Live,1949,1,1
894,The Charge of the Light Brigade,1936,1,3
895,The Chicken,1965,1,1
896,Churchill's Island,1941,1,1
897,Cimarron,31,3,7
898,The Circus,28,0,0
899,Citizen Kane,1941,1,9
900,City of Wax,1934,1,1
901,Cleopatra,1934,1,5
902,Cleopatra,1963,4,9
903,Climbing the Matterhorn,1947,1,1
904,Come and Get It,1936,1,2
905,"Come Back, Little Sheba",1952,1,3
906,Coquette,29,1,1
907,The Country Cousin,1936,1,1
908,The Country Girl,1954,2,7
909,Cover Girl,1944,1,5
910,The Cowboy and the Lady,1938,1,3
911,Crash Dive,1943,1,1
912,Crashing the Water Barrier,1956,1,1
913,The Critic,1963,1,1
914,La Cucaracha,1934,1,1
915,Cyrano de Bergerac,1950,1,1
916,A Damsel in Distress,1937,1,2
917,Dangerous,1935,1,1
918,The Dark Angel,1935,1,3
919,The Dawn Patrol,31,1,1
920,Day of the Painter,1960,1,1
921,Daybreak in Udi,1949,1,1
922,Days of Wine and Roses,1962,1,5
923,December 7th,1943,1,1
924,Declaration of Independence,1938,1,1
925,The Defiant Ones,1958,2,9
926,Der Fuehrer's Face,1942,1,1
927,Desert Victory,1943,1,1
928,Design for Death,1947,1,1
929,Designing Woman,1957,1,1
930,Destination Moon,1950,1,2
931,The Diary of Anne Frank,1959,3,8
932,Disraeli,30,1,3
933,The Divine Lady,29,1,3
934,Divorce Italian Style,1962,1,3
935,The Divorcee,30,1,4
936,Dodsworth,1936,1,7
937,The Dot and the Line,1965,1,1
938,A Double Life,1947,2,4
939,The Dove,28,1,1
940,Dr. Jekyll and Mr. Hyde,32,1,3
941,Dumbo,1941,1,2
942,Dylan Thomas,1962,1,1
943,East of Eden,1955,1,4
944,Easter Parade,1948,1,1
945,Elmer Gantry,1960,3,5
946,The Enemy Below,1957,1,1
947,Eskimo,1934,1,1
948,Exodus,1960,1,3
949,The Face of Lincoln,1955,1,2
950,Facing Your Danger,1946,1,1
951,The Facts of Life,1960,1,5
952,Fantasia,1940,0,0
953,A Farewell to Arms,33,2,4
954,The Farmer's Daughter,1947,1,2
955,Father Goose,1964,1,3
956,Federico Fellini's 8�,1963,2,5
957,Ferdinand the Bull,1938,1,1
958,The Fighting Lady,1944,1,1
959,First Steps,1947,1,1
960,Flowers and Trees,32,1,1
961,Folies Bergere,1935,1,1
962,For Scent-imental Reasons,1949,1,1
963,For Whom the Bell Tolls,1943,1,9
964,Forbidden Games,1952,0,1
965,,1961,0,0
966,A Free Soul,31,1,3
967,Frenchman's Creek,1945,1,1
968,From Here to Eternity,1953,8,13
969,The Garden of Allah,1936,0,2
970,Gaslight,1944,2,7
971,Gate of Hell,1954,1,1
972,The Gay Divorcee,1934,1,5
973,Gentleman's Agreement,1947,3,8
974,Gerald McBoing-Boing,1950,1,1
975,Giant,1956,1,10
976,Gigi,1958,9,9
977,Giuseppina,1960,1,1
978,Give Me Liberty,1936,1,1
979,Glass,1959,1,1
980,The Glenn Miller Story,1954,1,3
981,Going My Way,1944,7,10
982,Gold Diggers of 1935,1935,1,2
983,The Golden Fish,1959,1,1
984,Goldfinger,1964,1,1
985,Gone with the Wind,1939,8,13
986,The Good Earth,1937,2,5
987,"Goodbye, Miss Turlock",1947,1,1
988,"Goodbye, Mr. Chips",1939,1,7
989,Grand Canyon,1958,1,1
990,Grand Hotel,32,1,1
991,Grandad of Races,1950,1,1
992,The Grapes of Wrath,1940,2,7
993,The Great Caruso,1951,1,3
994,Great Expectations,1947,2,5
995,The Great Lie,1941,1,1
996,The Great McGinty,1940,1,1
997,The Great Waltz,1938,1,3
998,The Great Ziegfeld,1936,3,7
999,The Greatest Show on Earth,1952,2,5
1000,Green Dolphin Street,1947,1,4
1001,The Guns of Navarone,1961,1,7
1002,Hamlet,1948,4,7
1003,Happy Anniversary,1962,1,1
1004,Harvey,1950,1,2
1005,The Harvey Girls,1946,1,2
1006,Heavenly Music,1943,1,1
1007,The Heiress,1949,4,8
1008,Helen Keller in Her Story,1955,1,1
1009,"Hello, Frisco, Hello",1943,1,2
1010,Henry V,1946,0,4
1011,Here Comes Mr. Jordan,1941,2,7
1012,Here Comes the Groom,1951,1,2
1013,The High and the Mighty,1954,1,6
1014,High Noon,1952,4,7
1015,Hitler Lives,1945,1,1
1016,A Hole in the Head,1959,1,1
1017,The Hole,1962,1,1
1018,Holiday Inn,1942,1,3
1019,The Horse with the Flying Tail,1960,1,1
1020,The House I Live In,1945,0,0
1021,The House on 92nd Street,1945,1,1
1022,How Green Was My Valley,1941,5,10
1023,How the West Was Won,1963,3,8
1024,How to Sleep,1935,1,1
1025,Hud,1963,3,7
1026,The Human Comedy,1943,1,5
1027,The Hurricane,1937,1,3
1028,The Hustler,1961,2,9
1029,I Want to Live!,1958,1,6
1030,I Wanted Wings,1941,1,1
1031,I Won't Play,1944,1,1
1032,I'll Cry Tomorrow,1955,1,4
1033,In Beaver Valley,1950,1,1
1034,In Old Arizona,29,1,5
1035,In Old Chicago,1937,2,6
1036,In Which We Serve,1942,0,2
1037,The Informer,1935,4,6
1038,Interrupted Melody,1955,1,3
1039,The Invaders,1942,1,3
1040,Irma la Douce,1963,1,3
1041,It Happened One Night,1934,5,5
1042,"It's a Mad, Mad, Mad, Mad World",1963,1,6
1043,The Jazz Singer,28,0,1
1044,Jezebel,1938,2,5
1045,Joan of Arc,1948,2,7
1046,Johann Mouse,1952,1,1
1047,Johnny Belinda,1948,1,12
1048,Johnny Eager,1942,1,1
1049,The Joker Is Wild,1957,1,1
1050,The Jolson Story,1946,2,6
1051,Judgment at Nuremberg,1961,2,11
1052,Julius Caesar,1953,1,5
1053,Kentucky,1938,1,1
1054,Key Largo,1948,1,1
1055,The King and I,1956,5,9
1056,King of Jazz,30,1,1
1057,King Solomon's Mines,1950,2,3
1058,Kitty Foyle,1940,1,5
1059,Knighty Knight Bugs,1958,1,1
1060,Kokoda Front Line!,1942,1,1
1061,Kon-Tiki,1950,1,1
1062,Krakatoa,33,1,1
1063,Kukan,1941,0,0
1064,La Strada,1956,1,2
1065,La Dolce Vita,1961,1,4
1066,Lady Be Good,1941,1,1
1067,The Last Command,28,1,2
1068,Laura,1944,1,5
1069,The Lavender Hill Mob,1952,1,2
1070,Lawrence of Arabia,1962,7,10
1071,Leave Her to Heaven,1945,1,4
1072,Lend a Paw,1941,1,1
1073,Les Girls,1957,1,3
1074,A Letter to Three Wives,1949,2,3
1075,The Life of Emile Zola,1937,3,10
1076,Light in the Window,1952,1,1
1077,Lili,1953,1,6
1078,Lilies of the Field,1963,1,5
1079,The Little Kidnappers,1954,0,0
1080,The Little Orphan,1948,1,1
1081,Little Women,33,1,3
1082,Little Women,1949,1,2
1083,The Lives of a Bengal Lancer,1935,1,7
1084,The Living Desert,1953,1,1
1085,The Longest Day,1962,2,5
1086,Lost Horizon,1937,2,7
1087,The Lost Weekend,1945,4,7
1088,Love Is a Many-Splendored Thing,1955,3,8
1089,Love Me or Leave Me,1955,1,6
1090,Lust for Life,1956,1,4
1091,Magoo's Puddle Jumper,1956,1,1
1092,Main Street on the March!,1941,1,1
1093,The Man Who Knew Too Much,1956,1,1
1094,Manhattan Melodrama,1934,1,1
1095,Marie-Louise,1945,1,1
1096,Marty,1955,4,8
1097,Mary Poppins,1964,5,13
1098,Men Against the Arctic,1955,1,1
1099,The Merry Widow,1934,1,1
1100,A Midsummer Night's Dream,1935,2,7
1101,Mighty Joe Young,1949,1,1
1102,Mildred Pierce,1945,1,6
1103,The Milky Way,1940,1,1
1104,Min and Bill,31,1,1
1105,Miracle on 34th Street,1947,3,4
1106,The Miracle Worker,1962,2,5
1107,Mister Roberts,1955,1,3
1108,Monsieur Vincent,1948,0,0
1109,Moonbird,1959,1,1
1110,The More the Merrier,1943,1,6
1111,Morning Glory,33,1,1
1112,Moscow Strikes Back,1942,1,1
1113,Mother Wore Tights,1947,1,3
1114,Moulin Rouge,1952,2,7
1115,Mouse Trouble,1944,1,1
1116,Mr. Deeds Goes to Town,1936,1,5
1117,Mr. Smith Goes to Washington,1939,1,11
1118,Mrs. Miniver,1942,6,12
1119,Munro,1960,1,1
1120,The Music Box,32,1,1
1121,The Music Man,1962,1,6
1122,Mutiny on the Bounty,1935,1,8
1123,My Fair Lady,1964,8,12
1124,My Uncle,1958,1,1
1125,My Gal Sal,1942,1,2
1126,The Naked City,1948,2,3
1127,National Velvet,1945,2,5
1128,Nature's Half Acre,1951,1,1
1129,Naughty Marietta,1935,1,2
1130,Neighbours,1952,1,2
1131,Neptune's Daughter,1949,1,1
1132,Never on Sunday,1960,1,5
1133,The Night of the Iguana,1964,1,4
1134,Nights of Cabiria,1957,1,1
1135,Nine from Little Rock,1964,1,1
1136,None But the Lonely Heart,1944,1,4
1137,North West Mounted Police,1940,1,5
1138,"Now, Voyager",1942,1,3
1139,An Occurrence at Owl Creek Bridge,1963,1,1
1140,Of Pups and Puzzles,1941,1,1
1141,Oklahoma!,1955,2,4
1142,The Old Man and the Sea,1958,1,3
1143,The Old Mill,1937,1,1
1144,On the Town,1949,1,1
1145,On the Waterfront,1954,8,12
1146,One Hundred Men and a Girl,1937,1,5
1147,One Night of Love,1934,2,6
1148,One Way Passage,33,1,1
1149,Overture to The Merry Wives of Windsor,1953,1,1
1150,The Paleface,1948,1,1
1151,Panic in the Streets,1950,1,1
1152,Papa's Delicate Condition,1963,1,1
1153,The Patriot,29,1,5
1154,Penny Wisdom,1937,1,1
1155,Phantom of the Opera,1943,2,4
1156,The Philadelphia Story,1940,2,6
1157,Picnic,1955,2,6
1158,The Picture of Dorian Gray,1945,1,3
1159,Pillow Talk,1959,1,5
1160,The Pink Phink,1964,1,1
1161,Pinocchio,1940,2,2
1162,A Place in the Sun,1951,6,9
1163,Plymouth Adventure,1952,1,1
1164,Pollyanna,1960,0,0
1165,Porgy and Bess,1959,1,4
1166,Portrait of Jennie,1948,1,2
1167,Prelude to War,1942,1,1
1168,Pride and Prejudice,1940,1,1
1169,The Pride of the Yankees,1942,1,11
1170,Princess O'Rourke,1943,1,1
1171,The Private Life of Henry VIII,33,1,2
1172,The Private Life of the Gannets,1937,1,1
1173,Project Hope,1961,1,1
1174,The Public Pays,1936,1,1
1175,Pygmalion,1938,1,4
1176,Quicker'n a Wink,1940,1,1
1177,The Quiet Man,1952,2,7
1178,Quiet Please!,1945,1,1
1179,The Rains Came,1939,1,8
1180,Rashomon,1951,0,1
1181,The Razor's Edge,1946,1,4
1182,Reap the Wild Wind,1942,1,3
1183,Rebecca,1940,2,11
1184,The Red Balloon,1956,1,1
1185,The Red Shoes,1948,2,5
1186,The Robe,1953,2,5
1187,Robert Frost: A Lover's Quarrel with the World,1963,1,1
1188,Roman Holiday,1953,3,10
1189,Room at the Top,1959,2,6
1190,The Rose Tattoo,1955,3,8
1191,Sabrina,1954,1,6
1192,Samson and Delilah,1950,2,5
1193,Samurai I: Musashi Miyamoto,1955,0,0
1194,San Francisco,1936,1,6
1195,Sayonara,1957,4,10
1196,The Scoundrel,1935,1,1
1197,The Sea Around Us,1952,1,1
1198,Seal Island,1948,1,1
1199,The Search,1948,1,4
1200,Seawards the Great Ships,1961,1,1
1201,The Secret Land,1948,1,1
1202,Seeds of Destiny,1946,1,1
1203,Separate Tables,1958,2,7
1204,Serengeti Shall Not Die,1959,1,1
1205,Sergeant York,1941,2,11
1206,Seven Brides for Seven Brothers,1954,1,5
1207,Seven Days to Noon,1951,1,1
1208,The Seventh Veil,1946,1,1
1209,Shane,1953,1,6
1210,Shanghai Express,32,1,3
1211,She Wore a Yellow Ribbon,1949,1,1
1212,Shoeshine,1947,0,1
1213,The Silent World,1956,1,1
1214,The Sin of Madelon Claudet,32,1,1
1215,Since You Went Away,1944,1,9
1216,Skippy,31,1,4
1217,Sky Above and Mud Beneath,1961,1,1
1218,The Snake Pit,1948,1,6
1219,Snow White and the Seven Dwarfs,1937,0,1
1220,So Much for So Little,1949,1,1
1221,So This Is Harris!,33,1,1
1222,The Solid Gold Cadillac,1956,1,2
1223,Some Like It Hot,1959,1,6
1224,Somebody Up There Likes Me,1956,2,3
1225,The Song of Bernadette,1943,4,12
1226,Song of the South,1947,1,2
1227,Song Without End,1960,1,1
1228,Sons and Lovers,1960,1,7
1229,Sons of Liberty,1939,1,1
1230,South Pacific,1958,1,3
1231,Spartacus,1960,4,6
1232,Spawn of the North,1938,0,0
1233,Speaking of Animals and Their Families,1942,1,1
1234,Speedy Gonzales,1955,1,1
1235,Spellbound,1945,1,6
1236,Splendor in the Grass,1961,1,2
1237,Stagecoach,1939,2,7
1238,Stairway to Light,1945,1,1
1239,Stalag 17,1953,1,3
1240,Star in the Night,1945,1,1
1241,A Star Is Born,1937,1,7
1242,State Fair,1945,1,2
1243,The Story of Louis Pasteur,1936,3,4
1244,The Stratton Story,1949,1,1
1245,Street Angel,28,1,3
1246,A Streetcar Named Desire,1951,4,12
1247,Strike Up the Band,1940,1,3
1248,The Substitute,1961,1,1
1249,Sundays and Cybele,1962,1,3
1250,Sunrise,28,3,9
1251,Sunset Boulevard,1950,3,11
1252,Survival City,1955,1,1
1253,Suspicion,1941,1,3
1254,Sweet Bird of Youth,1962,1,3
1255,Sweethearts,1938,0,2
1256,Swing Time,1936,1,2
1257,Symphony of a City,1948,1,1
1258,Tabu,31,1,1
1259,Target for Tonight,1941,0,0
1260,"Teddy, the Rough Rider",1940,1,1
1261,Tempest,28,1,1
1262,The Ten Commandments,1956,1,7
1263,That Hamilton Woman,1941,1,4
1264,That Mothers Might Live,1938,1,1
1265,The Thief of Bagdad,1940,3,4
1266,The Third Man,1950,1,3
1267,Thirty Seconds Over Tokyo,1944,1,2
1268,This Above All,1942,1,4
1269,This Is the Army,1943,1,3
1270,This Land Is Mine,1943,1,1
1271,This Mechanical Age,1954,1,1
1272,Three Coins in the Fountain,1954,2,3
1273,The Three Faces of Eve,1957,1,1
1274,Three Little Pigs,33,1,1
1275,Three Orphan Kittens,1935,1,1
1276,Through a Glass Darkly,1961,1,2
1277,Thunderball,1965,1,1
1278,Thursday's Children,1954,1,1
1279,The Time Machine,1960,1,1
1280,A Time Out of War,1954,1,1
1281,Tin Pan Alley,1940,1,1
1282,The Titan: Story of Michelangelo,1950,1,1
1283,Titanic,1953,1,2
1284,To Catch a Thief,1955,1,3
1285,To Each His Own,1946,1,2
1286,To Kill a Mockingbird,1962,3,8
1287,Tom Jones,1963,4,10
1288,tom thumb,1958,1,1
1289,"Toot, Whistle, Plunk and Boom",1953,1,1
1290,Topkapi,1964,1,1
1291,The Tortoise and the Hare,1934,1,1
1292,Torture Money,1937,1,1
1293,Toward Independence,1948,1,1
1294,Transatlantic,32,1,1
1295,The Treasure of the Sierra Madre,1948,3,4
1296,A Tree Grows in Brooklyn,1945,1,2
1297,The True Glory,1945,1,1
1298,The True Story of the Civil War,1956,1,1
1299,Tweetie Pie,1947,1,1
1300,Twelve O'Clock High,1949,2,4
1301,Two Arabian Knights,28,1,1
1302,The Two Mouseketeers,1951,1,1
1303,Two Women,1961,1,1
1304,The Ugly Duckling,1939,1,1
1305,Underworld,28,1,1
1306,The V.I.P.s,1963,1,1
1307,Vacation from Marriage,1946,1,1
1308,Van Gogh,1949,1,1
1309,The Vanishing Prairie,1954,1,1
1310,The Virgin Spring,1960,1,2
1311,Viva Villa!,1934,1,4
1312,Viva Zapata!,1952,1,5
1313,Waikiki Wedding,1937,1,2
1314,The Walls of Malapaga,1950,0,0
1315,The War of the Worlds,1953,1,3
1316,Watch on the Rhine,1943,1,4
1317,Water Birds,1952,1,1
1318,The Way of All Flesh,28,1,1
1319,West Side Story,1961,10,11
1320,The Westerner,1940,1,3
1321,The Wetback Hound,1957,1,1
1322,What Ever Happened to Baby Jane?,1962,1,5
1323,When Tomorrow Comes,1939,1,1
1324,When Magoo Flew,1954,1,1
1325,When Worlds Collide,1951,1,2
1326,White Shadows in the South Seas,29,1,1
1327,White Wilderness,1958,1,2
1328,Who's Who in Animal Land,1944,1,1
1329,Why Korea?,1950,1,1
1330,Wilson,1944,5,10
1331,Wings,28,2,2
1332,Wings Over Everest,1935,1,1
1333,With a Song in My Heart,1952,1,5
1334,With Byrd at the South Pole,30,1,1
1335,With the Marines at Tarawa,1944,1,1
1336,The Wizard of Oz,1939,2,10
1337,Woman of the Year,1942,1,2
1338,Wonder Man,1945,1,4
1339,The Wonderful World of the Brothers Grimm,1962,1,4
1340,World of Kids,1951,1,1
1341,World Without Sun,1964,1,1
1342,Wrestling Swordfish,32,1,1
1343,Written on the Wind,1956,1,3
1344,Wuthering Heights,1939,1,8
1345,Yankee Doodle Dandy,1942,3,8
1346,The Yankee Doodle Mouse,1943,1,1
1347,The Yearling,1946,2,7
1348,"Yesterday, Today and Tomorrow",1964,1,1
1349,You Can't Take It with You,1938,2,7
1350,Zorba the Greek,1964,3,7
